,Symbol,Hurricane Date,Wills Volatility Measure,Mean volatility on this day other years
0,S&P 500,2003-09-18,23.950301747200047,22.40406957812376
1,S&P 500,2004-09-16,15.065871930588653,21.803806447560717
2,S&P 500,2004-08-13,16.446446072112394,21.12132176845592
3,S&P 500,2004-09-16,15.065871930588653,21.803806447560717
4,S&P 500,2005-08-29,20.55546561257536,20.214581240139136
5,S&P 500,2005-08-25,13.433363021847073,21.37858802975766
6,S&P 500,2005-10-24,26.64583055820725,23.25258577357568
7,S&P 500,2005-08-29,20.55546561257536,20.214581240139136
8,S&P 500,2005-08-29,20.55546561257536,20.214581240139136
9,S&P 500,2016-10-07,19.747818232306443,23.353128340851804
30,S&P 500,1964-08-27,20.674225325817172,21.535987328173558
31,S&P 500,1964-09-10,20.836863746499425,22.246523637572427
32,S&P 500,1964-10-14,19.305623549885944,23.422172183038594
33,S&P 500,1965-09-08,22.993633263659774,21.045247728127453
34,S&P 500,1965-09-10,26.156117970998803,22.142224535131255
35,S&P 500,1966-06-09,26.65305254739863,20.50374369391516
36,S&P 500,1966-06-13,25.99631098851477,20.90058026537762
37,S&P 500,1967-09-20,25.08606336648281,20.71819862568234
38,S&P 500,1969-08-18,25.808157093889953,21.05715396733613
39,S&P 500,1970-08-03,31.70543094128644,20.991587343607726
40,S&P 500,1971-09-16,22.8372158364226,21.64837956944403
41,S&P 500,1975-09-23,30.199622374047063,21.822831213545317
42,S&P 500,1976-08-10,24.42862652183342,21.355870025326684
43,S&P 500,1979-09-13,23.637007706046035,20.16992895916923
44,S&P 500,1979-09-04,30.218828343663173,23.181874590825835
45,S&P 500,1979-09-13,23.637007706046035,20.16992895916923
46,S&P 500,1979-09-04,30.218828343663173,23.181874590825835
47,S&P 500,1983-08-18,24.326477036717854,21.086787568479572
48,S&P 500,1984-09-13,29.60200717624594,20.048194276103924
49,S&P 500,1985-11-21,22.187139472428182,22.35524837393889
50,S&P 500,1989-09-22,15.423664588551947,22.296308708622107
51,S&P 500,1991-08-19,40.249951934019975,20.353520432087873
52,S&P 500,1991-08-19,40.249951934019975,20.353520432087873
53,S&P 500,1991-08-19,40.249951934019975,20.353520432087873
54,S&P 500,1991-08-19,40.249951934019975,20.353520432087873
55,S&P 500,1992-08-24,21.46842653205739,21.359767991226768
56,S&P 500,1992-08-26,17.474425780988625,22.05621645782021
57,S&P 500,1992-09-11,13.453529680980804,22.312414229115845
58,S&P 500,1993-08-31,14.908880356146751,21.016407076417156
59,S&P 500,1995-08-03,18.446423509191998,21.25156788149193
60,S&P 500,1995-10-04,14.181636843944936,22.12466600073677
61,S&P 500,1996-07-12,21.53859916062149,20.289226621573146
62,S&P 500,1996-09-06,23.413404760466708,21.22781666478933
63,S&P 500,1998-09-25,32.495913591883046,22.76755556303459
64,S&P 500,1998-09-29,25.67611067069749,22.27280849564195
65,S&P 500,1998-08-27,53.90607754036769,20.88438238279021
66,S&P 500,1999-09-16,27.189865494013127,21.56132657629222
67,S&P 500,1999-10-18,26.423995266409925,21.803327884265357
68,S&P 500,1999-08-23,27.52415232343688,21.667183115000853
69,S&P 500,1999-09-16,27.189865494013127,21.56132657629222
0,Dow Jones 30,2003-09-18,22.974198333461075,24.167899006769446
1,Dow Jones 30,2004-09-16,15.191505197504403,22.387179193072015
2,Dow Jones 30,2004-08-13,17.231567801393147,21.636323478278126
3,Dow Jones 30,2004-09-16,15.191505197504403,22.387179193072015
4,Dow Jones 30,2005-08-29,23.258217960341568,20.890675397397125
5,Dow Jones 30,2005-08-25,13.543700490237295,22.03507765499445
6,Dow Jones 30,2005-10-24,26.58872330648271,25.692535179462304
7,Dow Jones 30,2005-08-29,23.258217960341568,20.890675397397125
8,Dow Jones 30,2005-08-29,23.258217960341568,20.890675397397125
9,Dow Jones 30,2016-10-07,19.343852875367613,25.269482700475344
10,Dow Jones 30,1992-08-24,19.590670554639164,23.51921412627469
11,Dow Jones 30,1992-08-26,17.591692420334546,23.003859005295897
12,Dow Jones 30,1992-09-11,14.980230178680936,22.8952825290176
13,Dow Jones 30,1993-08-31,14.922647486298432,22.970981075763174
14,Dow Jones 30,1995-08-03,21.14783005193555,19.72041316021729
15,Dow Jones 30,1995-10-04,14.803443747549679,23.717177535863605
16,Dow Jones 30,1996-07-12,23.011902168022342,20.518993709191093
17,Dow Jones 30,1996-09-06,23.370938286140262,21.810323928344747
