,Symbol,Hurricane Date,Hurricane Category,Wills Volatility Measure,Volatility Measure MA,Volatility Measure Trailing MA,MA Difference,TMA Difference
0,^HSI,2003-09-18,2,23.128798660253853,22.473712891527622,21.58368855340485,0.6550857687262308,1.5451101068490019
1,^HSI,2004-09-16,3,23.635626856061112,19.768705988431666,21.089923564996507,3.866920867629446,2.545703291064605
2,^HSI,2004-08-13,4,17.174323573626527,20.892965854354493,22.443797275796072,-3.718642280727966,-5.269473702169545
3,^HSI,2004-09-16,3,23.635626856061112,19.768705988431666,21.089923564996507,3.866920867629446,2.545703291064605
4,^HSI,2005-08-29,3,18.585698535996517,19.857474766920436,17.788025329272187,-1.2717762309239191,0.7976732067243297
5,^HSI,2005-08-25,3,18.84223790976764,19.710386095973668,18.0996862650101,-0.8681481862060281,0.7425516447575404
6,^HSI,2005-10-24,3,22.762211430988465,19.05713957481489,18.377688806128624,3.705071856173575,4.384522624859841
7,^HSI,2005-08-29,3,18.585698535996517,19.857474766920436,17.788025329272187,-1.2717762309239191,0.7976732067243297
8,^HSI,2005-08-29,3,18.585698535996517,19.857474766920436,17.788025329272187,-1.2717762309239191,0.7976732067243297
9,^HSI,2008-09-01,2,18.92793593766601,29.919045249295387,26.280506839494954,-10.991109311629376,-7.352570901828944
10,^HSI,2014-07-04,2,15.001488015199882,18.831638534246718,18.12129362286838,-3.8301505190468355,-3.1198056076684964
11,^HSI,2016-10-07,2,17.49421643771856,21.274510676894877,20.246371646701665,-3.7802942391763175,-2.7521552089831047
13,^HSI,1991-08-19,2,99.64451313755795,18.812806916158205,21.25955946772054,80.83170622139974,78.38495366983742
14,^HSI,1991-08-19,2,99.64451313755795,18.812806916158205,21.25955946772054,80.83170622139974,78.38495366983742
15,^HSI,1991-08-19,2,99.64451313755795,18.812806916158205,21.25955946772054,80.83170622139974,78.38495366983742
16,^HSI,1991-08-19,3,99.64451313755795,18.812806916158205,21.25955946772054,80.83170622139974,78.38495366983742
17,^HSI,1992-08-24,5,29.584446459750033,24.94074057858589,25.145201281541404,4.643705881164145,4.43924517820863
18,^HSI,1992-08-26,3,40.2831663666424,24.67314751168659,24.9419840444189,15.610018854955808,15.3411823222235
19,^HSI,1992-09-11,4,26.246799799217488,27.250507137236333,24.923228643497353,-1.0037073380188453,1.3235711557201348
20,^HSI,1993-08-31,3,27.202207223789703,24.0696205849698,23.603108420106853,3.1325866388199017,3.5990988036828497
21,^HSI,1995-08-03,2,18.714763620200085,22.248193343827815,21.44022832039298,-3.53342972362773,-2.7254647001928944
22,^HSI,1995-10-04,3,22.562986687813567,20.371171465606903,21.439526111280728,2.191815222206664,1.123460576532839
23,^HSI,1996-07-12,2,18.869605366598073,18.861483500150893,19.17222289223565,0.008121866447179826,-0.3026175256375758
24,^HSI,1996-09-06,3,18.671818067954085,18.657610705668553,19.92528817464557,0.014207362285532099,-1.2534701066914842
25,^HSI,1998-09-25,2,35.183000703767235,41.461432661710596,49.25070386478577,-6.278431957943361,-14.067703161018535
26,^HSI,1998-09-29,2,30.64276818913445,43.30678525957359,51.484276196921236,-12.664017070439137,-20.841508007786786
27,^HSI,1998-08-27,2,21.66825123328522,46.95792860188217,35.359010756291426,-25.289677368596955,-13.690759523006207
28,^HSI,1999-08-23,3,29.061898133904453,30.33079570169915,29.95223437814073,-1.2688975677946956,-0.890336244236277
