,State Name,Name,Saffir-Simpson Category,Date of closest approach,Year
2,North Carolina,Isabel,2,"Sep 18, 2003",2003
3,Alabama,Ivan,3,"Sep 16, 2004",2004
4,Florida,Charley,4,"Aug 13, 2004",2004
5,Florida,Frances,2,"Sep 5, 2004",2004
6,Florida,Ivan,3,"Sep 16, 2004",2004
7,Florida,Jeanne,3,"Sep 26, 2004",2004
8,Alabama,Katrina,3,"Aug 29, 2005",2005
9,Florida,Dennis,3,"Jul 10, 2005",2005
10,Florida,Katrina,3,"Aug 25, 2005",2005
11,Florida,Wilma,3,"Oct 24, 2005",2005
12,Louisiana,Katrina,3,"Aug 29, 2005",2005
13,Louisiana,Rita,5,"Sep 24, 2005",2005
14,Mississippi,Katrina,3,"Aug 29, 2005",2005
15,Texas,Rita,2,"Sep 24, 2005",2005
16,Louisiana,Gustav,2,"Sep 1, 2008",2008
17,Texas,Ike,2,"Sep 13, 2008",2008
18,Connecticut,Hurricane Irene,3,"Aug 28, 2011",2011
19,North Carolina,Arthur,2,"Jul 4, 2014",2014
20,Florida,Matthew,2,October 7,2016
21,Texas,Harvey,4,August 26,2017
23,Connecticut,Hurricane Able,2,"Sep 1, 1952",1952
24,Maryland,Hazel,2,"Oct 15, 1954",1954
25,Massachusetts,Edna,3,"Sep 11, 1954",1954
26,New York,Carol,3,"Aug 31, 1954",1954
27,North Carolina,Carol,2,"Aug 31, 1954",1954
28,North Carolina,Hazel,4,"Oct 15, 1954",1954
29,Rhode Island,Carol,3,"Aug 31, 1954",1954
30,South Carolina,Hazel,4,"Oct 15, 1954",1954
31,Connecticut,Hurricane Edna,3,"Sep 11, 1954",1954
32,Connecticut,Hurricane Carol,3,"Aug 31, 1954",1954
33,North Carolina,Connie,3,"Aug 12, 1955",1955
34,North Carolina,Ione,3,"Sep 19, 1955",1955
35,Connecticut,Hurricane Diane,3,"August 18–19, 1955",1955
36,Louisiana,Flossy,2,"Sep 24, 1956",1956
37,Louisiana,Audrey,4,"Jun 27, 1957",1957
38,Texas,Audrey,4,"Jun 27, 1957",1957
39,North Carolina,Helene,3,"Sep 27, 1958",1958
40,South Carolina,Gracie,3,"Sep 29, 1959",1959
41,Florida,Donna,4,"Sep 10, 1960",1960
42,New York,Donna,2,"Sep 12, 1960",1960
43,North Carolina,Donna,3,"Sep 12, 1960",1960
