areaCode,areaName,areaType,date,cumCasesBySpecimenDate
K02000001,United Kingdom,overview,2021-09-30,7872181
K02000001,United Kingdom,overview,2021-09-29,7842993
K02000001,United Kingdom,overview,2021-09-28,7809545
K02000001,United Kingdom,overview,2021-09-27,7773946
K02000001,United Kingdom,overview,2021-09-26,7733158
K02000001,United Kingdom,overview,2021-09-25,7701667
K02000001,United Kingdom,overview,2021-09-24,7673853
K02000001,United Kingdom,overview,2021-09-23,7642284
K02000001,United Kingdom,overview,2021-09-22,7607072
K02000001,United Kingdom,overview,2021-09-21,7570935
K02000001,United Kingdom,overview,2021-09-20,7532723
K02000001,United Kingdom,overview,2021-09-19,7492655
K02000001,United Kingdom,overview,2021-09-18,7462132
K02000001,United Kingdom,overview,2021-09-17,7435848
K02000001,United Kingdom,overview,2021-09-16,7406801
K02000001,United Kingdom,overview,2021-09-15,7377634
K02000001,United Kingdom,overview,2021-09-14,7347703
K02000001,United Kingdom,overview,2021-09-13,7316791
K02000001,United Kingdom,overview,2021-09-12,7282679
K02000001,United Kingdom,overview,2021-09-11,7259017
K02000001,United Kingdom,overview,2021-09-10,7235829
K02000001,United Kingdom,overview,2021-09-09,7207128
K02000001,United Kingdom,overview,2021-09-08,7173730
K02000001,United Kingdom,overview,2021-09-07,7138508
K02000001,United Kingdom,overview,2021-09-06,7100491
K02000001,United Kingdom,overview,2021-09-05,7056349
K02000001,United Kingdom,overview,2021-09-04,7025095
K02000001,United Kingdom,overview,2021-09-03,6993742
K02000001,United Kingdom,overview,2021-09-02,6955726
K02000001,United Kingdom,overview,2021-09-01,6914119
K02000001,United Kingdom,overview,2021-08-31,6871292
K02000001,United Kingdom,overview,2021-08-30,6826806
K02000001,United Kingdom,overview,2021-08-29,6792634
K02000001,United Kingdom,overview,2021-08-28,6766939
K02000001,United Kingdom,overview,2021-08-27,6739776
K02000001,United Kingdom,overview,2021-08-26,6706599
K02000001,United Kingdom,overview,2021-08-25,6669613
K02000001,United Kingdom,overview,2021-08-24,6631518
K02000001,United Kingdom,overview,2021-08-23,6594497
K02000001,United Kingdom,overview,2021-08-22,6555457
K02000001,United Kingdom,overview,2021-08-21,6527157
K02000001,United Kingdom,overview,2021-08-20,6499066
K02000001,United Kingdom,overview,2021-08-19,6467392
K02000001,United Kingdom,overview,2021-08-18,6431563
K02000001,United Kingdom,overview,2021-08-17,6393554
K02000001,United Kingdom,overview,2021-08-16,6356371
K02000001,United Kingdom,overview,2021-08-15,6320182
K02000001,United Kingdom,overview,2021-08-14,6295262
K02000001,United Kingdom,overview,2021-08-13,6270613
K02000001,United Kingdom,overview,2021-08-12,6242162
K02000001,United Kingdom,overview,2021-08-11,6211036
K02000001,United Kingdom,overview,2021-08-10,6178299
K02000001,United Kingdom,overview,2021-08-09,6147371
K02000001,United Kingdom,overview,2021-08-08,6115847
K02000001,United Kingdom,overview,2021-08-07,6093434
K02000001,United Kingdom,overview,2021-08-06,6071317
K02000001,United Kingdom,overview,2021-08-05,6043777
K02000001,United Kingdom,overview,2021-08-04,6012698
K02000001,United Kingdom,overview,2021-08-03,5980967
K02000001,United Kingdom,overview,2021-08-02,5951149
K02000001,United Kingdom,overview,2021-08-01,5921879
K02000001,United Kingdom,overview,2021-07-31,5901360
K02000001,United Kingdom,overview,2021-07-30,5881204
K02000001,United Kingdom,overview,2021-07-29,5856921
