,Milestone,Closing level,Date first achieved
0,2722.421,2734.64,"August 24, 1989"
1,2750,2752.09,"September 1, 1989"
2,2800,2810.15,"January 2, 1990"
3,2850,2852.23,"May 22, 1990"
4,2900,2900.97,"June 1, 1990"
5,2950,2969.8,"July 12, 1990"
7,3100,3101.52,"December 27, 1991"
8,3200,3201.48,"January 3, 1992"
9,3300,3306.13,"April 14, 1992"
10,3400,3413.21,"June 1, 1992"
11,3500,3500.03,"May 19, 1993"
12,3600,3604.86,"August 18, 1993"
13,3700,3710.77,"November 17, 1993"
14,3800,3803.88,"January 6, 1994"
15,3900,3914.48,"January 21, 1994"
17,4100,4138.66,"March 24, 1995"
18,4200,4201.61,"April 4, 1995"
19,4300,4303.98,"April 24, 1995"
20,4400,4404.62,"May 10, 1995"
21,4500,4510.79,"June 16, 1995"
22,4600,4615.23,"July 5, 1995"
23,4700,4702.73,"July 7, 1995"
24,4800,4801.8,"September 14, 1995"
25,4900,4922.75,"November 15, 1995"
26,5000,5023.55,"November 21, 1995"
27,5100,5105.56,"November 29, 1995"
28,5200,5216.47,"December 13, 1995"
29,5300,5304.98,"January 29, 1996"
30,5400,5405.06,"February 1, 1996"
31,5500,5539.45,"February 8, 1996"
32,5600,5600.15,"February 12, 1996"
33,5700,5748.82,"May 20, 1996"
34,5800,5838.52,"September 13, 1996"
35,5900,5904.9,"October 1, 1996"
36,6000,6010,"October 14, 1996"
37,6100,6177.71,"November 6, 1996"
38,6200,6206.04,"November 7, 1996"
39,6300,6313,"November 14, 1996"
40,6400,6430.02,"November 20, 1996"
41,6500,6547.79,"November 25, 1996"
42,6600,6600.66,"January 7, 1997"
43,6700,6703.79,"January 10, 1997"
44,6800,6833.1,"January 17, 1997"
45,6900,6961.63,"February 12, 1997"
46,7000,7022.44,"February 13, 1997"
47,7100,7213.68,"May 5, 1997"
48,7200,7213.68,"May 5, 1997"
49,7300,7333.5,"May 15, 1997"
50,7400,7435.8,"June 6, 1997"
51,7500,7539.27,"June 10, 1997"
52,7600,7711.5,"June 12, 1997"
53,7700,7711.5,"June 12, 1997"
54,7800,7895.8,"July 3, 1997"
55,7900,7962.3,"July 8, 1997"
56,8000,8038.88,"July 16, 1997"
57,8100,8116.9,"July 24, 1997"
58,8200,8254.9,"July 30, 1997"
59,8300,8314.55,"February 11, 1998"
60,8400,8451.06,"February 18, 1998"
61,8500,8545.72,"February 27, 1998"
62,8600,8643.12,"March 10, 1998"
63,8700,8718.85,"March 16, 1998"
64,8800,8803.05,"March 19, 1998"
65,8900,8906.43,"March 20, 1998"
66,9000,9033.23,"April 6, 1998"
67,9100,9110.2,"April 14, 1998"
68,9200,9211.84,"May 3, 1998"
69,9300,9328.18,"July 16, 1998"
70,9400,9544.97,"January 6, 1999"
71,9500,9544.97,"January 6, 1999"
72,9600,9643.32,"January 8, 1999"
73,9700,9736.08,"March 5, 1999"
74,9800,9897.44,"March 11, 1999"
75,9900,9958.77,"March 15, 1999"
76,10000,10006.78,"March 29, 1999"
77,10200,10339.51,"April 12, 1999"
78,10400,10411.66,"April 14, 1999"
79,10600,10727.18,"April 22, 1999"
80,10800,10837.71,"April 27, 1999"
81,11000,11014.69,"May 3, 1999"
82,11200,11200.98,"July 12, 1999"
83,11400,11405.76,"December 23, 1999"
84,11600,11722.98,"January 14, 2000"
