United States Billion-Dollar Disasters By Year (CPI-Adjusted)
Cost values are in billions of dollars
Year,"Drought Count","Drought Cost","Drought Lower 75","Drought Upper 75","Drought Lower 90","Drought Upper 90","Drought Lower 95","Drought Upper 95","Flooding Count","Flooding Cost","Flooding Lower 75","Flooding Upper 75","Flooding Lower 90","Flooding Upper 90","Flooding Lower 95","Flooding Upper 95","Freeze Count","Freeze Cost","Freeze Lower 75","Freeze Upper 75","Freeze Lower 90","Freeze Upper 90","Freeze Lower 95","Freeze Upper 95","Severe Storm Count","Severe Storm Cost","Severe Storm Lower 75","Severe Storm Upper 75","Severe Storm Lower 90","Severe Storm Upper 90","Severe Storm Lower 95","Severe Storm Upper 95","Tropical Cyclone Count","Tropical Cyclone Cost","Tropical Cyclone Lower 75","Tropical Cyclone Upper 75","Tropical Cyclone Lower 90","Tropical Cyclone Upper 90","Tropical Cyclone Lower 95","Tropical Cyclone Upper 95","Wildfire Count","Wildfire Cost","Wildfire Lower 75","Wildfire Upper 75","Wildfire Lower 90","Wildfire Upper 90","Wildfire Lower 95","Wildfire Upper 95","Winter Storm Count","Winter Storm Cost","Winter Storm Lower 75","Winter Storm Upper 75","Winter Storm Lower 90","Winter Storm Upper 90","Winter Storm Lower 95","Winter Storm Upper 95","All Disasters Count","All Disasters Cost","All Disasters Lower 75","All Disasters Upper 75","All Disasters Lower 90","All Disasters Upper 90","All Disasters Lower 95","All Disasters Upper 95"
1980,1,35.3,28.0,42.1,26.0,44.2,24.9,45.5,1,2.5,1.5,2.8,1.3,3.6,1.1,4.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.1,1.4,2.8,1.3,3.6,1.0,4.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,39.9,30.9,47.7,28.6,51.4,27.0,53.9
1981,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.8,1.4,1.9,1.2,2.1,0.9,2.4,1,1.3,1.1,1.2,0.7,1.5,0.5,1.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3.1,2.5,3.1,1.9,3.6,1.4,4.3
1982,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.8,2.6,2.8,2.0,3.0,2.0,3.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.9,1.3,2.1,1.1,2.3,0.1,2.8,3,4.7,3.9,4.9,3.1,5.3,2.1,6.4
1983,1,8.3,5.9,9.5,5.3,10.6,4.9,11.2,2,8.8,7.7,10.7,7.2,11.2,7.0,11.5,1,5.6,4.5,6.6,4.3,6.9,4.3,6.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,8.4,5.7,8.3,5.3,8.8,5.0,9.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,31.1,23.8,35.1,22.1,37.5,21.2,38.7
1984,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.8,2.5,3.0,2.3,3.5,2.1,3.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.8,2.5,3.0,2.3,3.5,2.1,3.8
1985,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.5,2.3,3.9,2.1,4.3,1.9,4.6,1,3.1,2.6,3.3,2.4,3.7,2.2,4.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,9.5,6.4,9.5,5.8,10.1,5.4,10.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.2,2.2,2.4,2.2,2.5,2.2,2.5,6,18.3,13.5,19.1,12.5,20.6,11.7,21.7
1986,1,4.5,3.7,5.3,3.4,5.7,3.2,6.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.3,1.0,1.4,0.9,1.5,0.9,1.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5.8,4.7,6.7,4.3,7.2,4.1,7.5
1987,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,1,47.2,35.9,57.5,33.3,60.0,32.1,61.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,47.2,35.9,57.5,33.3,60.0,32.1,61.3
1989,1,6.8,6.0,7.9,5.6,8.1,5.4,8.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4.5,3.5,5.5,3.3,5.7,3.2,5.8,1,1.2,1.1,1.3,1.1,1.4,0.9,1.5,1,20.3,18.3,21.2,17.7,21.9,17.4,22.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.5,1.4,1.8,1.4,1.9,1.4,1.9,5,34.3,30.3,37.7,29.1,39.0,28.3,40.0
